Class Label,Class Number,Quantity
Low Energy Downlighter,16,6
Full Height Tiling,9,2
Low Energy Pendant Light,17,5
Shaver Socket,25,1
Mains Wired Smoke Detector,18,1
Double Socket,6,13
Light Switch,15,6
Radiator,23,5
Programmable Room Thermostat,22,1
Ceiling Mounted Continuous Extract Fan With Boost Mode Activated By Light Switch,2,2
External Wall Light,8,1
Total,,43
