Class Label,Class Number,Quantity
Low Energy Pendant Light,17,2
Mains Wired Smoke Detector,18,1
Low Energy Downlighter,16,12
Cat 6 Data Socket,1,2
External Wall Light,8,3
Radiator,23,7
Programmable Room Thermostat,22,1
Light Switch,15,6
Double Socket,6,11
Track Light,29,3
Ceiling Mounted Continuous Extract Fan With Boost Mode Activated By Light Switch,2,2
Outside Socket,19,1
USB Double Socket,31,3
Outside Tap,20,1
Electric Meter Box,7,1
Telephone Socket,28,1
BT Entry Point,0,1
Co-Ax TV Socket,4,1
Total,,59
